"Establecimiento_ID","Nombre_Centro","Tipo_Centro","Comuna"
"121305","VILLA ALEGRE","CESFAM","Temuco"
"121306","SANTA ROSA","CESFAM","Temuco"
"121307","AMANECER","CESFAM","Temuco"
"121309","PUEBLO NUEVO","CESFAM","Temuco"
"121347","PEDRO DE VALDIVIA","CESFAM","Temuco"
"121350","LABRANZA","CESFAM","Temuco"
"121352","M. VALECH","CESFAM","Temuco"
"121780","EL SALAR","CESCOF","Temuco"
"121782","ARQUENCO","CESCOF","Temuco"
"121788","LAS QUILAS","CESCOF","Temuco"
"200183","EL CARMEN","CESFAM","Temuco"
"121460","COLLIMALLIN","PSR","Temuco"
"121463","CONOCO","PSR","Temuco"
